DATE_TIME ,VOLT,AMPERE,POWER,IRRADIANCE
20/03/2024 07:00,11.53,0.764,8.8,051.0
20/03/2024 08:00,12.84,4.018,51.5,267.9
20/03/2024 09:00,12.42,2.746,34.1,183.1
20/03/2024 10:00,12.74,3.730,47.5,248.7
20/03/2024 11:00,14.45,8.248,119.1,549.9
20/03/2024 12:00,12.22,2.157,26.3,143.8
20/03/2024 13:00,12.01,1.512,18.1,100.8
20/03/2024 14:00,14.06,7.594,106.7,506.3
20/03/2024 15:00,15.44,9.725,150.1,648.4
20/03/2024 16:00,13.39,5.697,76.2,379.8
20/03/2024 17:00,12.19,2.068,25.2,137.9
20/03/2024 18:00,11.25,0.349,3.9,023.3
20/03/2024 19:00,00.00,00.00,0,00.00
21/03/2024 07:00,11.48,0.699,8.0,046.6
21/03/2024 08:00,12.24,2.220,27.1,147.0
21/03/2024 09:00,12.84,4.022,51.6,268.2
21/03/2024 10:00,15.17,9.276,140.7,618.4
21/03/2024 11:00,13.76,6.925,95.2,461.7
21/03/2024 12:00,14.12,7.699,108.7,513.3
21/03/2024 13:00,16.63,12.491,207.7,832.8
21/03/2024 14:00,17.21,12.655,217.7,843.7
21/03/2024 15:00,13.04,4.572,59.6,304.8
21/03/2024 16:00,12.84,4.012,51.5,267.5
21/03/2024 17:00,11.87,1.278,15.1,085.2
21/03/2024 18:00,11.10,0.012,0.1,008.0
21/03/2024 19:00,00.00,00.00,0,00.00
22/03/2024 07:00,11.80,1.174,13.8,078.3
22/03/2024 08:00,12.59,3.274,41.2,218.3
22/03/2024 09:00,15.19,9.311,141.4,620.8
22/03/2024 10:00,13.10,4.723,61.8,314.9
22/03/2024 11:00,12.90,4.222,54.4,281.5
22/03/2024 12:00,12.18,2.038,24.8,135.9
22/03/2024 13:00,11.24,0.329,3.6,022.0
22/03/2024 14:00,11.12,0.157,1.7,010.5
22/03/2024 15:00,11.39,0.554,6.3,037.0
22/03/2024 16:00,11.19,0.258,2.8,017.2
22/03/2024 17:00,11.21,0.295,3.3,019.7
22/03/2024 18:00,11.11,0.143,1.5,009.6
22/03/2024 19:00,00.00,00.00,0,00.00
23/03/2024 07:00,11.62,0.912,10.5,060.8
23/03/2024 08:00,12.88,4.144,53.3,276.3
23/03/2024 09:00,12.64,3.414,43.1,227.6
23/03/2024 10:00,12.69,3.564,45.2,237.6
23/03/2024 11:00,12.01,1.513,18.1,100.9
23/03/2024 12:00,12.94,4.339,56.1,289.3
23/03/2024 13:00,16.43,11.821,194.2,788.1
23/03/2024 14:00,12.18,2.033,24.7,135.6
23/03/2024 15:00,12.63,3.382,42.7,225.5
23/03/2024 16:00,13.46,5.911,79.5,394.1
23/03/2024 17:00,12.13,1.882,22.8,125.5
23/03/2024 18:00,11.19,0.265,2.9,017.7
23/03/2024 19:00,00.00,00.00,0,00.00
24/03/2024 07:00,11.48,0.701,8.0,046.8
24/03/2024 08:00,12.85,4.051,52.0,270.1
24/03/2024 09:00,12.27,2.299,28.2,153.3
24/03/2024 10:00,13.39,5.679,76.0,378.6
24/03/2024 11:00,17.28,13.957,241.1,930.5
24/03/2024 12:00,13.27,5.256,69.7,350.4
24/03/2024 13:00,12.97,4.405,57.1,293.7
24/03/2024 14:00,12.98,4.422,57.3,294.8
24/03/2024 15:00,12.52,3.072,38.4,204.8
24/03/2024 16:00,12.65,3.439,43.5,229.3
24/03/2024 17:00,12.16,1.957,23.7,130.5
24/03/2024 18:00,11.16,0.195,2.1,014.8
24/03/2024 19:00,00.00,00.00,0,00.00
25/03/2024 07:00,11.40,0.574,6.5,038.3
25/03/2024 08:00,12.92,4.249,54.8,283.3
25/03/2024 09:00,14.58,8.847,128.9,564.8
25/03/2024 10:00,16.55,12.228,202.3,815.2
25/03/2024 11:00,16.66,12.570,209.4,838.0
25/03/2024 12:00,14.31,8.016,114.7,534.4
25/03/2024 13:00,8.59,15.000,128.8,630.3
25/03/2024 14:00,16.49,12.009,198.0,800.6
25/03/2024 15:00,15.07,9.010,135.7,607.3
25/03/2024 16:00,13.28,5.290,70.2,352.7
25/03/2024 17:00,11.79,1.158,13.6,077.2
25/03/2024 18:00,11.14,0.184,2.0,012.3
25/03/2024 19:00,00.00,00.00,0,00.00
26/03/2024 07:00,11.55,0.796,9.1,053.1
